State Label,Region Label
1002,2008
1005,2008
1012,2008
1029,2008
1038,2008
1048,2008
1014,2003
1015,2003
1023,2003
1036,2003
1050,2003
1008,2002
1009,2002
1021,2002
1031,2002
1033,2002
1039,2002
1007,2001
1020,2001
1022,2001
1030,2001
1040,2001
1046,2001
1016,2004
1017,2004
1024,2004
1026,2004
1028,2004
1035,2004
1042,2004
1006,2007
1013,2007
1027,2007
1045,2007
1051,2007
1001,2005
1004,2005
1010,2005
1011,2005
1018,2005
1019,2005
1025,2005
1034,2005
1041,2005
1043,2005
1047,2005
1049,2005
1003,2006
1032,2006
1037,2006
1044,2006
