state,state label,x,y
1001,Alabama,746,493
1002,Alaska,144,570
1003,Arizona,230,415
1004,Arkansas,622,438
1005,California,78,304
1006,Colorado,351,323
1007,Connecticut,985,214
1008,Delaware,941,294
1009,District of Colombia,912,300
1010,Florida,852,554
1011,Georgia,812,481
1012,Hawaii,358,629
1013,Idaho,218,173
1014,Illinois,679,295
1015,Indiana,733,277
1016,Iowa,596,255
1017,Kansas,505,345
1018,Kentucky,761,362
1019,Louisiana,622,512
1020,Maine,1015,110
1021,Maryland,912,284
1022,Massachusetts,983,194
1023,Michigan,755,201
1024,Minnesota,578,148
1025,Mississippi,683,481
1026,Missouri,619,348
1027,Montana,314,121
1028,Nebraska,487,269
1029,Nevada,154,282
1030,New Hampshire,983,161
1031,New Jersey,954,257
1032,New Mexico,346,441
1033,New York,922,196
1034,North Carolina,887,397
1035,North Dakota,474,121
1036,Ohio,798,270
1037,Oklahoma,519,401
1038,Oregon,113,155
1039,Pennsylvania,889,255
1040,Rhode Island,996,209
1041,South Carolina,858,438
1042,South Dakota,477,196
1043,Tennessee,758,407
1044,Texas,482,509
1045,Utah,255,311
1046,Vermont,962,156
1047,Virginia,885,338
1048,Washington,153,74
1049,West Virginia,842,320
1050,Wisconsin,660,191
1051,Wyoming,343,224
