Zone Label,State Label
11,1001
12,1001
19,1001
20,1002
41,1003
42,1003
49,1003
50,1004
61,1005
62,1005
63,1005
64,1005
65,1005
69,1005
81,1006
89,1006
91,1007
92,1007
99,1007
101,1008
109,1008
111,1009
121,1010
122,1010
123,1010
124,1010
129,1010
131,1011
132,1011
139,1011
151,1012
159,1012
160,1013
171,1014
172,1014
179,1014
181,1015
182,1015
183,1015
189,1015
190,1016
201,1017
202,1017
209,1017
211,1018
212,1018
219,1018
221,1019
222,1019
223,1019
229,1019
230,1020
241,1021
242,1021
249,1021
251,1022
259,1022
261,1023
262,1023
269,1023
271,1024
279,1024
280,1025
291,1026
292,1026
299,1026
300,1027
311,1028
319,1028
321,1029
329,1029
331,1030
339,1030
341,1031
342,1031
350,1032
361,1033
362,1033
363,1033
364,1033
369,1033
371,1034
372,1034
373,1034
379,1034
380,1035
391,1036
392,1036
393,1036
394,1036
399,1036
401,1037
402,1037
409,1037
411,1038
419,1038
421,1039
422,1039
423,1039
429,1039
441,1040
451,1041
452,1041
459,1041
460,1042
471,1043
472,1043
473,1043
479,1043
481,1044
482,1044
483,1044
484,1044
485,1044
486,1044
487,1044
488,1044
489,1044
491,1045
499,1045
500,1046
511,1047
512,1047
513,1047
519,1047
531,1048
532,1048
539,1048
540,1049
551,1050
559,1050
560,1051
